document_id,term,term_type,frequency,frequency_score,first_position,last_position,distance_from_start,distance_from_end,earliness_score,persistence_score,relevance_score,extended_relevance_score,relevance_class
L12,chain,unigram,20,0.31746,0.19526,0.931994,0.19526,0.068006,0.80474,0.736734,0.5611,0.589426,top
L12,like,unigram,11,0.174603,0.053581,0.07728,0.053581,0.92272,0.946419,0.023699,0.560511,0.360877,top
L12,match,unigram,8,0.126984,0.019062,0.464709,0.019062,0.535291,0.980938,0.445647,0.553961,0.478769,top
L12,logical,unigram,6,0.095238,0.000515,0.140649,0.000515,0.859351,0.999485,0.140134,0.547361,0.379981,top
L12,sentence,unigram,6,0.095238,0.001546,0.680577,0.001546,0.319423,0.998454,0.679031,0.546846,0.541341,top
L12,review,unigram,6,0.095238,0.004122,0.134982,0.004122,0.865018,0.995878,0.13086,0.545558,0.376117,top
L12,formula,unigram,11,0.174603,0.088099,0.225142,0.088099,0.774858,0.911901,0.137043,0.543252,0.384524,top
L13,similarity,unigram,58,1.0,0.001291,1.0,0.001291,0.0,0.998709,0.998709,0.999354,0.999225,top
L13,information,unigram,30,0.517241,0.054874,0.969658,0.054874,0.030342,0.945126,0.914784,0.731184,0.764869,top
L13,meaning,unigram,26,0.448276,0.000646,0.996772,0.000646,0.003228,0.999354,0.996127,0.723815,0.777955,top
L13,similar,unigram,30,0.517241,0.169141,0.967076,0.169141,0.032924,0.830859,0.797934,0.67405,0.695534,top
L13,sense,unigram,20,0.344828,0.026469,0.44093,0.026469,0.55907,0.973531,0.414461,0.659179,0.554329,top
L13,sens,unigram,12,0.206897,0.018722,0.689477,0.018722,0.310523,0.981278,0.670755,0.594087,0.578369,top
L13,lemma,unigram,5,0.086207,0.005165,0.031633,0.005165,0.968367,0.994835,0.026469,0.540521,0.340874,top
